Date,Start,Game,Visitor,Visitor Rest,Home,Home Rest
11/20/2017,8:00 PM,6,Oklahoma City Thunder,2 Days,New Orleans Pelicans,2 Days
11/20/2017,8:00 PM,7,Washington Wizards,3 in 4 Days w/ B2B,Milwaukee Bucks,1 Day
11/20/2017,8:00 PM,8,Portland Trail Blazers,"3 in 4 Days, no B2B",Memphis Grizzlies,1 Day
11/20/2017,8:30 PM,9,Atlanta Hawks,1 Day,San Antonio Spurs,2 Days
11/20/2017,8:30 PM,10,Boston Celtics,1 Day,Dallas Mavericks,"3 in 4 Days, no B2B"
11/20/2017,10:00 PM,11,Denver Nuggets,3 in 4 Days w/ B2B,Sacramento Kings,"3 in 4 Days, no B2B"
11/21/2017,10:30 PM,1,Chicago Bulls,1 Day,Los Angeles Lakers,1 Day
11/22/2017,7:00 PM,1,Brooklyn Nets,2 Days,Cleveland Cavaliers,1 Day
11/22/2017,7:00 PM,2,Washington Wizards,"3 in 4 Days, no B2B",Charlotte Hornets,1 Day
11/22/2017,7:00 PM,3,Portland Trail Blazers,1 Day,Philadelphia 76ers,1 Day
11/22/2017,7:30 PM,4,Boston Celtics,1 Day,Miami Heat,2 Days
11/22/2017,7:30 PM,5,Los Angeles Clippers,1 Day,Atlanta Hawks,1 Day
11/22/2017,7:30 PM,6,Toronto Raptors,2 Days,New York Knicks,1 Day
11/22/2017,8:00 PM,7,Golden State Warriors,2 Days,Oklahoma City Thunder,1 Day
11/22/2017,8:00 PM,8,Orlando Magic,1 Day,Minnesota Timberwolves,"3 in 4 Days, no B2B"
11/22/2017,8:00 PM,9,Dallas Mavericks,1 Day,Memphis Grizzlies,1 Day
11/22/2017,8:00 PM,10,Denver Nuggets,"3 in 4 Days, no B2B",Houston Rockets,3-4 Days
11/22/2017,8:00 PM,11,San Antonio Spurs,1 Day,New Orleans Pelicans,1 Day
11/22/2017,9:00 PM,12,Milwaukee Bucks,1 Day,Phoenix Suns,2 Days
11/22/2017,9:00 PM,13,Chicago Bulls,3 in 4 Days w/ B2B,Utah Jazz,1 Day
11/22/2017,10:30 PM,14,Los Angeles Lakers,3 in 4 Days w/ B2B,Sacramento Kings,1 Day
11/24/2017,12:00 PM,1,Portland Trail Blazers,1 Day,Brooklyn Nets,1 Day
11/24/2017,7:30 PM,2,Orlando Magic,1 Day,Boston Celtics,1 Day
11/24/2017,7:30 PM,3,New York Knicks,1 Day,Atlanta Hawks,1 Day
11/24/2017,8:00 PM,4,Detroit Pistons,3-4 Days,Oklahoma City Thunder,1 Day
11/24/2017,8:00 PM,5,Miami Heat,1 Day,Minnesota Timberwolves,1 Day
11/24/2017,8:00 PM,6,Charlotte Hornets,1 Day,Cleveland Cavaliers,1 Day
11/24/2017,8:00 PM,7,Toronto Raptors,1 Day,Indiana Pacers,3-4 Days
11/24/2017,9:00 PM,8,Memphis Grizzlies,1 Day,Denver Nuggets,1 Day
11/24/2017,9:00 PM,9,New Orleans Pelicans,1 Day,Phoenix Suns,1 Day
11/24/2017,10:30 PM,10,Chicago Bulls,"3 in 4 Days, no B2B",Golden State Warriors,1 Day
11/25/2017,7:00 PM,1,Orlando Magic,3 in 4 Days w/ B2B,Philadelphia 76ers,2 Days
11/25/2017,7:00 PM,2,Portland Trail Blazers,3 in 4 Days w/ B2B,Washington Wizards,2 Days
11/25/2017,7:00 PM,3,San Antonio Spurs,2 Days,Charlotte Hornets,3 in 4 Days w/ B2B
11/25/2017,7:30 PM,4,Toronto Raptors,3 in 4 Days w/ B2B,Atlanta Hawks,3 in 4 Days w/ B2B
11/25/2017,8:00 PM,5,New York Knicks,3 in 4 Days w/ B2B,Houston Rockets,2 Days
11/25/2017,8:00 PM,6,Boston Celtics,3 in 4 Days w/ B2B,Indiana Pacers,Back to Back
11/25/2017,8:30 PM,7,New Orleans Pelicans,3 in 4 Days w/ B2B,Golden State Warriors,3 in 4 Days w/ B2B
11/25/2017,8:30 PM,8,Oklahoma City Thunder,3 in 4 Days w/ B2B,Dallas Mavericks,2 Days
11/25/2017,9:00 PM,9,Milwaukee Bucks,2 Days,Utah Jazz,2 Days
11/25/2017,10:00 PM,10,Los Angeles Clippers,2 Days,Sacramento Kings,2 Days
11/26/2017,3:30 PM,1,Miami Heat,1 Day,Chicago Bulls,1 Day
11/26/2017,3:30 PM,2,Phoenix Suns,1 Day,Minnesota Timberwolves,1 Day
11/26/2017,6:00 PM,3,Brooklyn Nets,1 Day,Memphis Grizzlies,1 Day
11/27/2017,7:00 PM,1,Cleveland Cavaliers,2 Days,Philadelphia 76ers,1 Day
11/27/2017,7:00 PM,2,Orlando Magic,"3 in 4 Days, no B2B",Indiana Pacers,"3 in 4 Days, no B2B"
11/27/2017,7:30 PM,3,Detroit Pistons,2 Days,Boston Celtics,"3 in 4 Days, no B2B"
11/27/2017,7:30 PM,4,Portland Trail Blazers,"3 in 4 Days, no B2B",New York Knicks,"3 in 4 Days, no B2B"
11/27/2017,8:00 PM,5,Brooklyn Nets,3 in 4 Days w/ B2B,Houston Rockets,1 Day
11/27/2017,8:30 PM,6,Dallas Mavericks,1 Day,San Antonio Spurs,1 Day
11/27/2017,10:30 PM,7,Sacramento Kings,1 Day,Golden State Warriors,"3 in 4 Days, no B2B"
11/27/2017,10:30 PM,8,Los Angeles Lakers,3-4 Days,Los Angeles Clippers,1 Day
11/28/2017,7:00 PM,1,Miami Heat,1 Day,Cleveland Cavaliers,Back to Back
11/28/2017,8:00 PM,2,Washington Wizards,2 Days,Minnesota Timberwolves,1 Day
11/28/2017,8:00 PM,3,Phoenix Suns,1 Day,Chicago Bulls,1 Day
11/28/2017,10:00 PM,4,Milwaukee Bucks,2 Days,Sacramento Kings,3 in 4 Days w/ B2B
11/28/2017,10:00 PM,5,Denver Nuggets,3-4 Days,Utah Jazz,2 Days
11/29/2017,7:00 PM,1,Washington Wizards,Back to Back,Philadelphia 76ers,1 Day
11/29/2017,7:00 PM,2,Phoenix Suns,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
11/29/2017,7:00 PM,3,Oklahoma City Thunder,3-4 Days,Orlando Magic,1 Day
11/29/2017,7:30 PM,4,Miami Heat,3 in 4 Days w/ B2B,New York Knicks,1 Day
11/29/2017,7:30 PM,5,Charlotte Hornets,3-4 Days,Toronto Raptors,3-4 Days
11/29/2017,8:00 PM,6,Minnesota Timberwolves,3 in 4 Days w/ B2B,New Orleans Pelicans,3-4 Days
11/29/2017,8:00 PM,7,Indiana Pacers,1 Day,Houston Rockets,1 Day
11/29/2017,8:30 PM,8,Memphis Grizzlies,2 Days,San Antonio Spurs,1 Day
11/29/2017,8:30 PM,9,Brooklyn Nets,"3 in 4 Days, no B2B",Dallas Mavericks,1 Day
11/29/2017,10:30 PM,10,Golden State Warriors,1 Day,Los Angeles Lakers,1 Day
11/30/2017,7:30 PM,1,Cleveland Cavaliers,"3 in 4 Days, no B2B",Atlanta Hawks,3-4 Days
11/30/2017,7:30 PM,2,Philadelphia 76ers,3 in 4 Days w/ B2B,Boston Celtics,2 Days
11/30/2017,9:00 PM,3,Chicago Bulls,1 Day,Denver Nuggets,1 Day
11/30/2017,10:00 PM,4,Milwaukee Bucks,1 Day,Portland Trail Blazers,2 Days
11/30/2017,10:30 PM,5,Utah Jazz,1 Day,Los Angeles Clippers,2 Days
12/1/2017,7:00 PM,1,Detroit Pistons,1 Day,Washington Wizards,"3 in 4 Days, no B2B"
12/1/2017,7:00 PM,2,Golden State Warriors,1 Day,Orlando Magic,1 Day
12/1/2017,7:30 PM,3,Indiana Pacers,1 Day,Toronto Raptors,1 Day
12/1/2017,8:00 PM,4,Sacramento Kings,2 Days,Chicago Bulls,3 in 4 Days w/ B2B
12/1/2017,8:00 PM,5,Minnesota Timberwolves,"3 in 4 Days, no B2B",Oklahoma City Thunder,1 Day
12/1/2017,8:00 PM,6,Charlotte Hornets,1 Day,Miami Heat,"3 in 4 Days, no B2B"
12/1/2017,8:00 PM,7,San Antonio Spurs,1 Day,Memphis Grizzlies,1 Day
12/1/2017,9:00 PM,8,New Orleans Pelicans,1 Day,Utah Jazz,3 in 4 Days w/ B2B
12/2/2017,1:00 PM,1,Phoenix Suns,2 Days,Boston Celtics,1 Day
12/2/2017,2:00 PM,2,Los Angeles Clippers,1 Day,Dallas Mavericks,2 Days
12/2/2017,3:00 PM,3,Atlanta Hawks,1 Day,Brooklyn Nets,2 Days
12/2/2017,7:30 PM,4,Detroit Pistons,3 in 4 Days w/ B2B,Philadelphia 76ers,"3 in 4 Days, no B2B"
12/2/2017,7:30 PM,5,Memphis Grizzlies,3 in 4 Days w/ B2B,Cleveland Cavaliers,1 Day
12/2/2017,8:30 PM,6,Sacramento Kings,Back to Back,Milwaukee Bucks,1 Day
12/2/2017,9:00 PM,7,Los Angeles Lakers,2 Days,Denver Nuggets,1 Day
12/2/2017,10:00 PM,8,New Orleans Pelicans,3 in 4 Days w/ B2B,Portland Trail Blazers,1 Day
12/3/2017,3:30 PM,1,Orlando Magic,1 Day,New York Knicks,3-4 Days
12/3/2017,7:00 PM,2,Golden State Warriors,1 Day,Miami Heat,1 Day
12/3/2017,7:00 PM,3,Los Angeles Clippers,3 in 4 Days w/ B2B,Minnesota Timberwolves,1 Day
12/3/2017,7:00 PM,4,San Antonio Spurs,1 Day,Oklahoma City Thunder,1 Day
12/3/2017,9:30 PM,5,Houston Rockets,3-4 Days,Los Angeles Lakers,Back to Back
12/4/2017,7:00 PM,1,Phoenix Suns,1 Day,Philadelphia 76ers,1 Day
12/4/2017,7:00 PM,2,Orlando Magic,3 in 4 Days w/ B2B,Charlotte Hornets,2 Days
12/4/2017,7:00 PM,3,New York Knicks,Back to Back,Indiana Pacers,2 Days
12/4/2017,7:30 PM,4,Milwaukee Bucks,1 Day,Boston Celtics,1 Day
12/4/2017,7:30 PM,5,Brooklyn Nets,1 Day,Atlanta Hawks,1 Day
12/4/2017,8:00 PM,6,Golden State Warriors,3 in 4 Days w/ B2B,New Orleans Pelicans,"3 in 4 Days, no B2B"
12/4/2017,8:00 PM,7,Cleveland Cavaliers,1 Day,Chicago Bulls,2 Days
12/4/2017,8:00 PM,8,Minnesota Timberwolves,3 in 4 Days w/ B2B,Memphis Grizzlies,"3 in 4 Days, no B2B"
12/4/2017,8:30 PM,9,Denver Nuggets,1 Day,Dallas Mavericks,1 Day
12/4/2017,8:30 PM,10,Detroit Pistons,"3 in 4 Days, no B2B",San Antonio Spurs,3 in 4 Days w/ B2B
12/4/2017,9:00 PM,11,Washington Wizards,2 Days,Utah Jazz,2 Days
12/5/2017,7:30 PM,1,Phoenix Suns,3 in 4 Days w/ B2B,Toronto Raptors,3-4 Days
12/5/2017,8:00 PM,2,Utah Jazz,Back to Back,Oklahoma City Thunder,1 Day
12/5/2017,10:00 PM,3,Washington Wizards,Back to Back,Portland Trail Blazers,2 Days
12/6/2017,7:00 PM,1,Sacramento Kings,3-4 Days,Cleveland Cavaliers,1 Day
12/6/2017,7:00 PM,2,Chicago Bulls,1 Day,Indiana Pacers,1 Day
12/6/2017,7:00 PM,3,Atlanta Hawks,1 Day,Orlando Magic,"3 in 4 Days, no B2B"
12/6/2017,7:30 PM,4,Memphis Grizzlies,1 Day,New York Knicks,"3 in 4 Days, no B2B"
12/6/2017,7:30 PM,5,Dallas Mavericks,1 Day,Boston Celtics,1 Day
12/6/2017,8:00 PM,6,Denver Nuggets,1 Day,New Orleans Pelicans,1 Day
12/6/2017,8:00 PM,7,Detroit Pistons,1 Day,Milwaukee Bucks,1 Day
12/6/2017,8:00 PM,8,Golden State Warriors,"3 in 4 Days, no B2B",Charlotte Hornets,1 Day
12/6/2017,8:30 PM,9,Miami Heat,2 Days,San Antonio Spurs,"3 in 4 Days, no B2B"
12/6/2017,10:30 PM,10,Minnesota Timberwolves,"3 in 4 Days, no B2B",Los Angeles Clippers,2 Days
12/7/2017,8:00 PM,1,Los Angeles Lakers,3-4 Days,Philadelphia 76ers,2 Days
12/7/2017,9:00 PM,2,Washington Wizards,"3 in 4 Days, no B2B",Phoenix Suns,"3 in 4 Days, no B2B"
12/7/2017,10:00 PM,3,Oklahoma City Thunder,1 Day,Brooklyn Nets,2 Days
12/7/2017,10:30 PM,4,Houston Rockets,3-4 Days,Utah Jazz,"3 in 4 Days, no B2B"
12/8/2017,7:00 PM,1,Cleveland Cavaliers,1 Day,Indiana Pacers,1 Day
12/8/2017,7:00 PM,2,Chicago Bulls,1 Day,Charlotte Hornets,1 Day
12/8/2017,7:00 PM,3,Denver Nuggets,1 Day,Orlando Magic,1 Day
12/8/2017,7:00 PM,4,Golden State Warriors,1 Day,Detroit Pistons,1 Day
12/8/2017,8:00 PM,5,Sacramento Kings,1 Day,New Orleans Pelicans,1 Day
12/8/2017,8:00 PM,6,Dallas Mavericks,1 Day,Milwaukee Bucks,1 Day
12/8/2017,8:00 PM,7,Toronto Raptors,2 Days,Memphis Grizzlies,1 Day
12/8/2017,9:30 PM,8,Boston Celtics,1 Day,San Antonio Spurs,1 Day
12/9/2017,3:30 PM,1,Washington Wizards,1 Day,Los Angeles Clippers,2 Days
12/9/2017,6:00 PM,2,Miami Heat,2 Days,Brooklyn Nets,1 Day
12/9/2017,7:00 PM,3,Los Angeles Lakers,1 Day,Charlotte Hornets,3 in 4 Days w/ B2B
12/9/2017,7:30 PM,4,Orlando Magic,3 in 4 Days w/ B2B,Atlanta Hawks,2 Days
12/9/2017,8:00 PM,5,Philadelphia 76ers,1 Day,Cleveland Cavaliers,3 in 4 Days w/ B2B
12/9/2017,8:00 PM,6,New York Knicks,2 Days,Chicago Bulls,3 in 4 Days w/ B2B
12/9/2017,8:30 PM,7,Utah Jazz,1 Day,Milwaukee Bucks,3 in 4 Days w/ B2B
12/9/2017,9:00 PM,8,Oklahoma City Thunder,1 Day,Memphis Grizzlies,3 in 4 Days w/ B2B
12/9/2017,9:00 PM,9,San Antonio Spurs,3 in 4 Days w/ B2B,Phoenix Suns,1 Day
12/9/2017,10:00 PM,10,Houston Rockets,1 Day,Portland Trail Blazers,3-4 Days
12/10/2017,3:30 PM,1,Toronto Raptors,1 Day,Sacramento Kings,1 Day
12/10/2017,4:00 PM,2,Boston Celtics,1 Day,Detroit Pistons,1 Day
12/10/2017,5:00 PM,3,Denver Nuggets,1 Day,Indiana Pacers,1 Day
12/10/2017,7:00 PM,4,Philadelphia 76ers,3 in 4 Days w/ B2B,New Orleans Pelicans,1 Day
12/10/2017,7:00 PM,5,Dallas Mavericks,1 Day,Minnesota Timberwolves,3-4 Days
12/10/2017,7:30 PM,6,Atlanta Hawks,Back to Back,New York Knicks,Back to Back
12/11/2017,8:00 PM,1,Boston Celtics,3 in 4 Days w/ B2B,Chicago Bulls,"3 in 4 Days, no B2B"
12/11/2017,8:00 PM,2,Charlotte Hornets,"3 in 4 Days, no B2B",Oklahoma City Thunder,1 Day
12/11/2017,8:00 PM,3,New Orleans Pelicans,3 in 4 Days w/ B2B,Houston Rockets,1 Day
12/11/2017,8:00 PM,4,Miami Heat,1 Day,Memphis Grizzlies,"3 in 4 Days, no B2B"
12/11/2017,10:30 PM,5,Toronto Raptors,3 in 4 Days w/ B2B,Los Angeles Clippers,1 Day
12/11/2017,10:30 PM,6,Portland Trail Blazers,1 Day,Golden State Warriors,2 Days
12/12/2017,7:00 PM,1,Atlanta Hawks,"3 in 4 Days, no B2B",Cleveland Cavaliers,2 Days
12/12/2017,7:00 PM,2,Denver Nuggets,1 Day,Detroit Pistons,1 Day
12/12/2017,7:00 PM,3,Los Angeles Lakers,2 Days,New York Knicks,"3 in 4 Days, no B2B"
12/12/2017,7:30 PM,4,Washington Wizards,2 Days,Brooklyn Nets,2 Days
12/12/2017,8:00 PM,5,Philadelphia 76ers,"3 in 4 Days, no B2B",Minnesota Timberwolves,1 Day
12/12/2017,9:30 PM,6,San Antonio Spurs,2 Days,Dallas Mavericks,1 Day
12/12/2017,10:00 PM,7,Phoenix Suns,2 Days,Sacramento Kings,1 Day
12/13/2017,7:00 PM,1,Memphis Grizzlies,1 Day,Washington Wizards,Back to Back
12/13/2017,7:00 PM,2,Los Angeles Clippers,1 Day,Orlando Magic,3-4 Days
12/13/2017,7:00 PM,3,Oklahoma City Thunder,1 Day,Indiana Pacers,2 Days
12/13/2017,7:30 PM,4,Denver Nuggets,3 in 4 Days w/ B2B,Boston Celtics,"3 in 4 Days, no B2B"
12/13/2017,7:30 PM,5,Portland Trail Blazers,1 Day,Miami Heat,1 Day
12/13/2017,8:00 PM,6,Milwaukee Bucks,3-4 Days,New Orleans Pelicans,"3 in 4 Days, no B2B"
12/13/2017,8:00 PM,7,Utah Jazz,3-4 Days,Chicago Bulls,1 Day
12/13/2017,9:00 PM,8,Toronto Raptors,"3 in 4 Days, no B2B",Phoenix Suns,Back to Back
12/13/2017,9:30 PM,9,Charlotte Hornets,1 Day,Houston Rockets,1 Day
12/14/2017,7:30 PM,1,New York Knicks,1 Day,Brooklyn Nets,1 Day
12/14/2017,7:30 PM,2,Detroit Pistons,1 Day,Atlanta Hawks,1 Day
12/14/2017,8:00 PM,3,Sacramento Kings,1 Day,Minnesota Timberwolves,1 Day
12/14/2017,8:00 PM,4,Los Angeles Lakers,1 Day,Cleveland Cavaliers,1 Day
12/14/2017,10:30 PM,5,Dallas Mavericks,1 Day,Golden State Warriors,2 Days
12/15/2017,7:00 PM,1,Oklahoma City Thunder,1 Day,Philadelphia 76ers,2 Days
12/15/2017,7:00 PM,2,Los Angeles Clippers,1 Day,Washington Wizards,"3 in 4 Days, no B2B"
12/15/2017,7:00 PM,3,Miami Heat,1 Day,Charlotte Hornets,1 Day
12/15/2017,7:00 PM,4,Portland Trail Blazers,1 Day,Orlando Magic,1 Day
12/15/2017,7:00 PM,5,Detroit Pistons,3 in 4 Days w/ B2B,Indiana Pacers,1 Day
12/15/2017,7:30 PM,6,Brooklyn Nets,3 in 4 Days w/ B2B,Toronto Raptors,1 Day
12/15/2017,7:30 PM,7,Utah Jazz,1 Day,Boston Celtics,1 Day
12/15/2017,8:00 PM,8,Chicago Bulls,1 Day,Milwaukee Bucks,1 Day
12/15/2017,8:00 PM,9,Atlanta Hawks,3 in 4 Days w/ B2B,Memphis Grizzlies,1 Day
12/15/2017,9:00 PM,10,New Orleans Pelicans,1 Day,Denver Nuggets,"3 in 4 Days, no B2B"
12/15/2017,9:30 PM,11,San Antonio Spurs,2 Days,Houston Rockets,1 Day
12/16/2017,7:00 PM,1,Portland Trail Blazers,3 in 4 Days w/ B2B,Charlotte Hornets,3 in 4 Days w/ B2B
12/16/2017,7:30 PM,2,Oklahoma City Thunder,3 in 4 Days w/ B2B,New York Knicks,1 Day
12/16/2017,7:30 PM,3,Utah Jazz,3 in 4 Days w/ B2B,Cleveland Cavaliers,1 Day
12/16/2017,8:00 PM,4,Phoenix Suns,2 Days,Minnesota Timberwolves,1 Day
12/16/2017,8:00 PM,5,Milwaukee Bucks,3 in 4 Days w/ B2B,Houston Rockets,3 in 4 Days w/ B2B
12/16/2017,8:00 PM,6,Los Angeles Clippers,3 in 4 Days w/ B2B,Miami Heat,3 in 4 Days w/ B2B
12/16/2017,8:30 PM,7,Dallas Mavericks,1 Day,San Antonio Spurs,Back to Back
12/16/2017,9:00 PM,8,Boston Celtics,3 in 4 Days w/ B2B,Memphis Grizzlies,3 in 4 Days w/ B2B
12/17/2017,3:30 PM,1,Sacramento Kings,2 Days,Toronto Raptors,1 Day
12/17/2017,4:00 PM,2,Orlando Magic,1 Day,Detroit Pistons,"3 in 4 Days, no B2B"
12/17/2017,6:00 PM,3,Cleveland Cavaliers,3 in 4 Days w/ B2B,Washington Wizards,1 Day
12/17/2017,6:00 PM,4,Indiana Pacers,1 Day,Brooklyn Nets,"3 in 4 Days, no B2B"
12/18/2017,7:00 PM,1,New York Knicks,1 Day,Charlotte Hornets,"3 in 4 Days, no B2B"
12/18/2017,7:00 PM,2,Boston Celtics,"3 in 4 Days, no B2B",Indiana Pacers,3 in 4 Days w/ B2B
12/18/2017,7:30 PM,3,Miami Heat,"3 in 4 Days, no B2B",Atlanta Hawks,2 Days
12/18/2017,8:00 PM,4,Philadelphia 76ers,2 Days,Chicago Bulls,2 Days
12/18/2017,8:00 PM,5,Denver Nuggets,2 Days,Oklahoma City Thunder,"3 in 4 Days, no B2B"
12/18/2017,8:00 PM,6,Utah Jazz,"3 in 4 Days, no B2B",Houston Rockets,"3 in 4 Days, no B2B"
12/18/2017,8:00 PM,7,Portland Trail Blazers,"3 in 4 Days, no B2B",Minnesota Timberwolves,1 Day
12/18/2017,8:30 PM,8,Phoenix Suns,1 Day,Dallas Mavericks,1 Day
12/18/2017,8:30 PM,9,Los Angeles Clippers,"3 in 4 Days, no B2B",San Antonio Spurs,"3 in 4 Days, no B2B"
12/18/2017,10:30 PM,10,Golden State Warriors,3-4 Days,Los Angeles Lakers,3-4 Days
12/19/2017,7:00 PM,1,Sacramento Kings,1 Day,Philadelphia 76ers,Back to Back
12/19/2017,7:00 PM,2,New Orleans Pelicans,3-4 Days,Washington Wizards,1 Day
12/19/2017,8:00 PM,3,Cleveland Cavaliers,"3 in 4 Days, no B2B",Milwaukee Bucks,2 Days
12/20/2017,7:00 PM,1,Toronto Raptors,2 Days,Charlotte Hornets,1 Day
12/20/2017,7:30 PM,2,Sacramento Kings,3 in 4 Days w/ B2B,Brooklyn Nets,2 Days
12/20/2017,7:30 PM,3,Miami Heat,1 Day,Boston Celtics,1 Day
12/20/2017,7:30 PM,4,Indiana Pacers,"3 in 4 Days, no B2B",Atlanta Hawks,1 Day
12/20/2017,8:00 PM,5,Los Angeles Lakers,1 Day,Houston Rockets,1 Day
12/20/2017,8:00 PM,6,Orlando Magic,2 Days,Chicago Bulls,1 Day
12/20/2017,8:00 PM,7,Utah Jazz,1 Day,Oklahoma City Thunder,1 Day
12/20/2017,8:30 PM,8,Detroit Pistons,2 Days,Dallas Mavericks,1 Day
12/20/2017,9:00 PM,9,Minnesota Timberwolves,1 Day,Denver Nuggets,1 Day
12/20/2017,10:00 PM,10,San Antonio Spurs,1 Day,Portland Trail Blazers,1 Day
12/20/2017,10:30 PM,11,Phoenix Suns,1 Day,Los Angeles Clippers,1 Day
12/20/2017,10:30 PM,12,Memphis Grizzlies,3-4 Days,Golden State Warriors,1 Day
12/21/2017,7:00 PM,1,Toronto Raptors,Back to Back,Philadelphia 76ers,"3 in 4 Days, no B2B"
12/21/2017,7:00 PM,2,Chicago Bulls,3 in 4 Days w/ B2B,Cleveland Cavaliers,1 Day
12/21/2017,8:00 PM,3,Boston Celtics,3 in 4 Days w/ B2B,New York Knicks,2 Days
12/21/2017,9:00 PM,4,Memphis Grizzlies,Back to Back,Phoenix Suns,3 in 4 Days w/ B2B
12/21/2017,10:30 PM,5,San Antonio Spurs,3 in 4 Days w/ B2B,Utah Jazz,3 in 4 Days w/ B2B
12/22/2017,7:00 PM,1,New York Knicks,Back to Back,Detroit Pistons,1 Day
12/22/2017,7:00 PM,2,New Orleans Pelicans,2 Days,Orlando Magic,1 Day
12/22/2017,7:30 PM,3,Washington Wizards,2 Days,Brooklyn Nets,1 Day
12/22/2017,8:00 PM,4,Los Angeles Clippers,1 Day,Houston Rockets,1 Day
12/22/2017,8:00 PM,5,Charlotte Hornets,1 Day,Milwaukee Bucks,2 Days
12/22/2017,8:00 PM,6,Dallas Mavericks,1 Day,Miami Heat,1 Day
12/22/2017,8:00 PM,7,Atlanta Hawks,1 Day,Oklahoma City Thunder,1 Day
12/22/2017,10:00 PM,8,Denver Nuggets,1 Day,Portland Trail Blazers,1 Day
12/22/2017,10:30 PM,9,Los Angeles Lakers,1 Day,Golden State Warriors,1 Day
12/23/2017,5:00 PM,1,Philadelphia 76ers,1 Day,Toronto Raptors,"3 in 4 Days, no B2B"
12/23/2017,7:00 PM,2,Milwaukee Bucks,Back to Back,Charlotte Hornets,3 in 4 Days w/ B2B
12/23/2017,7:00 PM,3,Orlando Magic,3 in 4 Days w/ B2B,Washington Wizards,Back to Back
12/23/2017,7:00 PM,4,Brooklyn Nets,3 in 4 Days w/ B2B,Indiana Pacers,2 Days
12/23/2017,7:30 PM,5,Chicago Bulls,"3 in 4 Days, no B2B",Boston Celtics,"3 in 4 Days, no B2B"
12/23/2017,7:30 PM,6,Dallas Mavericks,3 in 4 Days w/ B2B,Atlanta Hawks,3 in 4 Days w/ B2B
12/23/2017,8:00 PM,7,New Orleans Pelicans,Back to Back,Miami Heat,3 in 4 Days w/ B2B
12/23/2017,8:00 PM,8,Oklahoma City Thunder,3 in 4 Days w/ B2B,Utah Jazz,"3 in 4 Days, no B2B"
