Date,Start,Game,Visitor,Visitor Rest,Home,Home Rest
1/28/2018,6:00 PM,6,Los Angeles Lakers,1 Day,Toronto Raptors,1 Day
1/28/2018,7:00 PM,7,Sacramento Kings,2 Days,San Antonio Spurs,1 Day
1/29/2018,7:00 PM,1,Charlotte Hornets,"3 in 4 Days, no B2B",Indiana Pacers,"3 in 4 Days, no B2B"
1/29/2018,7:30 PM,2,Minnesota Timberwolves,1 Day,Atlanta Hawks,"3 in 4 Days, no B2B"
1/29/2018,8:00 PM,3,Philadelphia 76ers,3 in 4 Days w/ B2B,Milwaukee Bucks,3 in 4 Days w/ B2B
1/29/2018,8:00 PM,4,Phoenix Suns,3 in 4 Days w/ B2B,Memphis Grizzlies,2 Days
1/29/2018,8:30 PM,5,Miami Heat,1 Day,Dallas Mavericks,"3 in 4 Days, no B2B"
1/29/2018,9:00 PM,6,Boston Celtics,1 Day,Denver Nuggets,1 Day
1/30/2018,7:00 PM,1,Oklahoma City Thunder,"3 in 4 Days, no B2B",Washington Wizards,2 Days
1/30/2018,7:30 PM,2,Minnesota Timberwolves,3 in 4 Days w/ B2B,Toronto Raptors,1 Day
1/30/2018,7:30 PM,3,Brooklyn Nets,2 Days,New York Knicks,3-4 Days
1/30/2018,8:00 PM,4,Cleveland Cavaliers,1 Day,Detroit Pistons,"3 in 4 Days, no B2B"
1/30/2018,8:00 PM,5,Orlando Magic,2 Days,Houston Rockets,1 Day
1/30/2018,8:00 PM,6,Sacramento Kings,1 Day,New Orleans Pelicans,1 Day
1/30/2018,8:30 PM,7,Denver Nuggets,3 in 4 Days w/ B2B,San Antonio Spurs,1 Day
1/30/2018,9:00 PM,8,Golden State Warriors,2 Days,Utah Jazz,3-4 Days
1/30/2018,10:30 PM,9,Portland Trail Blazers,3-4 Days,Los Angeles Clippers,1 Day
1/31/2018,7:00 PM,1,Memphis Grizzlies,1 Day,Indiana Pacers,1 Day
1/31/2018,7:00 PM,2,Los Angeles Lakers,2 Days,Orlando Magic,Back to Back
1/31/2018,7:30 PM,3,Philadelphia 76ers,"3 in 4 Days, no B2B",Brooklyn Nets,Back to Back
1/31/2018,7:30 PM,4,Charlotte Hornets,1 Day,Atlanta Hawks,1 Day
1/31/2018,7:30 PM,5,Miami Heat,1 Day,Cleveland Cavaliers,3 in 4 Days w/ B2B
1/31/2018,8:00 PM,6,New York Knicks,Back to Back,Boston Celtics,1 Day
1/31/2018,10:00 PM,7,Chicago Bulls,2 Days,Portland Trail Blazers,Back to Back
1/31/2018,10:30 PM,8,Dallas Mavericks,1 Day,Phoenix Suns,"3 in 4 Days, no B2B"
2/1/2018,7:00 PM,1,Toronto Raptors,1 Day,Washington Wizards,1 Day
2/1/2018,7:00 PM,2,Memphis Grizzlies,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
2/1/2018,8:00 PM,3,Houston Rockets,1 Day,San Antonio Spurs,1 Day
2/1/2018,8:00 PM,4,Milwaukee Bucks,2 Days,Minnesota Timberwolves,"3 in 4 Days, no B2B"
2/1/2018,10:30 PM,5,Oklahoma City Thunder,1 Day,Denver Nuggets,"3 in 4 Days, no B2B"
2/2/2018,7:00 PM,1,Indiana Pacers,1 Day,Charlotte Hornets,1 Day
2/2/2018,7:30 PM,2,Los Angeles Lakers,1 Day,Brooklyn Nets,"3 in 4 Days, no B2B"
2/2/2018,7:30 PM,3,Portland Trail Blazers,"3 in 4 Days, no B2B",Toronto Raptors,3 in 4 Days w/ B2B
2/2/2018,7:30 PM,4,Atlanta Hawks,1 Day,Boston Celtics,1 Day
2/2/2018,8:00 PM,5,Miami Heat,1 Day,Philadelphia 76ers,1 Day
2/2/2018,8:00 PM,6,New York Knicks,"3 in 4 Days, no B2B",Milwaukee Bucks,Back to Back
2/2/2018,9:00 PM,7,Utah Jazz,2 Days,Phoenix Suns,1 Day
2/2/2018,9:00 PM,8,New Orleans Pelicans,2 Days,Oklahoma City Thunder,3 in 4 Days w/ B2B
2/2/2018,10:30 PM,9,Golden State Warriors,2 Days,Sacramento Kings,2 Days
2/3/2018,3:30 PM,1,Chicago Bulls,2 Days,Los Angeles Clippers,3-4 Days
2/3/2018,7:00 PM,2,Philadelphia 76ers,3 in 4 Days w/ B2B,Indiana Pacers,3 in 4 Days w/ B2B
2/3/2018,7:00 PM,3,Washington Wizards,1 Day,Orlando Magic,2 Days
2/3/2018,7:00 PM,4,Miami Heat,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
2/3/2018,8:30 PM,5,Houston Rockets,1 Day,Cleveland Cavaliers,2 Days
2/3/2018,9:00 PM,6,Utah Jazz,Back to Back,San Antonio Spurs,1 Day
2/3/2018,9:00 PM,7,New Orleans Pelicans,Back to Back,Minnesota Timberwolves,1 Day
2/3/2018,9:00 PM,8,Golden State Warriors,Back to Back,Denver Nuggets,1 Day
2/3/2018,10:00 PM,9,Dallas Mavericks,2 Days,Sacramento Kings,Back to Back
2/4/2018,12:00 PM,1,Portland Trail Blazers,1 Day,Boston Celtics,1 Day
2/4/2018,12:00 PM,2,Atlanta Hawks,1 Day,New York Knicks,1 Day
2/4/2018,12:00 PM,3,Memphis Grizzlies,2 Days,Toronto Raptors,"3 in 4 Days, no B2B"
2/4/2018,12:00 PM,4,Milwaukee Bucks,"3 in 4 Days, no B2B",Brooklyn Nets,1 Day
2/4/2018,2:00 PM,5,Los Angeles Lakers,1 Day,Oklahoma City Thunder,"3 in 4 Days, no B2B"
2/4/2018,3:00 PM,6,Charlotte Hornets,1 Day,Phoenix Suns,1 Day
2/5/2018,7:00 PM,1,Portland Trail Blazers,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
2/5/2018,7:00 PM,2,Washington Wizards,1 Day,Indiana Pacers,"3 in 4 Days, no B2B"
2/5/2018,7:30 PM,3,Orlando Magic,1 Day,Miami Heat,"3 in 4 Days, no B2B"
2/5/2018,8:00 PM,4,Utah Jazz,"3 in 4 Days, no B2B",New Orleans Pelicans,"3 in 4 Days, no B2B"
2/5/2018,9:00 PM,5,Charlotte Hornets,3 in 4 Days w/ B2B,Denver Nuggets,1 Day
2/5/2018,10:00 PM,6,Chicago Bulls,1 Day,Sacramento Kings,"3 in 4 Days, no B2B"
2/5/2018,10:30 PM,7,Dallas Mavericks,1 Day,Los Angeles Clippers,1 Day
2/6/2018,7:00 PM,1,Cleveland Cavaliers,2 Days,Orlando Magic,3 in 4 Days w/ B2B
2/6/2018,7:30 PM,2,Milwaukee Bucks,1 Day,New York Knicks,1 Day
2/6/2018,7:30 PM,3,Boston Celtics,1 Day,Toronto Raptors,1 Day
2/6/2018,7:30 PM,4,Memphis Grizzlies,1 Day,Atlanta Hawks,1 Day
2/6/2018,7:30 PM,5,Houston Rockets,2 Days,Brooklyn Nets,1 Day
2/6/2018,8:00 PM,6,Washington Wizards,3 in 4 Days w/ B2B,Philadelphia 76ers,2 Days
2/6/2018,10:30 PM,7,Phoenix Suns,1 Day,Los Angeles Lakers,1 Day
2/6/2018,10:30 PM,8,Oklahoma City Thunder,1 Day,Golden State Warriors,2 Days
2/7/2018,7:00 PM,1,Brooklyn Nets,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
2/7/2018,7:30 PM,2,Houston Rockets,Back to Back,Miami Heat,1 Day
2/7/2018,8:00 PM,3,Utah Jazz,1 Day,Memphis Grizzlies,3 in 4 Days w/ B2B
2/7/2018,8:00 PM,4,Indiana Pacers,1 Day,New Orleans Pelicans,1 Day
2/7/2018,8:00 PM,5,Minnesota Timberwolves,3-4 Days,Cleveland Cavaliers,Back to Back
2/7/2018,10:30 PM,6,San Antonio Spurs,3-4 Days,Phoenix Suns,3 in 4 Days w/ B2B
2/8/2018,7:00 PM,1,Atlanta Hawks,1 Day,Orlando Magic,"3 in 4 Days, no B2B"
2/8/2018,7:30 PM,2,New York Knicks,1 Day,Toronto Raptors,1 Day
2/8/2018,8:00 PM,3,Boston Celtics,1 Day,Washington Wizards,"3 in 4 Days, no B2B"
2/8/2018,10:00 PM,4,Charlotte Hornets,2 Days,Portland Trail Blazers,2 Days
2/8/2018,10:30 PM,5,Dallas Mavericks,2 Days,Golden State Warriors,1 Day
2/8/2018,10:30 PM,6,Oklahoma City Thunder,1 Day,Los Angeles Lakers,1 Day
2/9/2018,7:00 PM,1,Los Angeles Clippers,3-4 Days,Detroit Pistons,1 Day
2/9/2018,7:00 PM,2,New Orleans Pelicans,1 Day,Philadelphia 76ers,2 Days
2/9/2018,7:30 PM,3,Cleveland Cavaliers,"3 in 4 Days, no B2B",Atlanta Hawks,3 in 4 Days w/ B2B
2/9/2018,7:30 PM,4,Indiana Pacers,1 Day,Boston Celtics,3 in 4 Days w/ B2B
2/9/2018,8:00 PM,5,Milwaukee Bucks,2 Days,Miami Heat,1 Day
2/9/2018,8:00 PM,6,Denver Nuggets,3-4 Days,Houston Rockets,"3 in 4 Days, no B2B"
2/9/2018,8:00 PM,7,Minnesota Timberwolves,1 Day,Chicago Bulls,3-4 Days
2/9/2018,9:00 PM,8,Charlotte Hornets,Back to Back,Utah Jazz,1 Day
2/9/2018,10:30 PM,9,Portland Trail Blazers,Back to Back,Sacramento Kings,3-4 Days
2/10/2018,6:00 PM,1,New Orleans Pelicans,3 in 4 Days w/ B2B,Brooklyn Nets,2 Days
2/10/2018,7:00 PM,2,Los Angeles Clippers,Back to Back,Philadelphia 76ers,Back to Back
2/10/2018,7:00 PM,3,Milwaukee Bucks,Back to Back,Orlando Magic,1 Day
2/10/2018,8:00 PM,4,Washington Wizards,1 Day,Chicago Bulls,Back to Back
2/10/2018,8:30 PM,5,San Antonio Spurs,2 Days,Golden State Warriors,1 Day
2/10/2018,8:30 PM,6,Los Angeles Lakers,1 Day,Dallas Mavericks,1 Day
2/10/2018,9:00 PM,7,Denver Nuggets,Back to Back,Phoenix Suns,2 Days
2/11/2018,1:00 PM,1,Toronto Raptors,2 Days,Charlotte Hornets,"3 in 4 Days, no B2B"
2/11/2018,3:30 PM,2,Cleveland Cavaliers,1 Day,Boston Celtics,"3 in 4 Days, no B2B"
2/11/2018,3:30 PM,3,Detroit Pistons,1 Day,Atlanta Hawks,"3 in 4 Days, no B2B"
2/11/2018,5:00 PM,4,New York Knicks,2 Days,Indiana Pacers,1 Day
2/11/2018,7:00 PM,5,Dallas Mavericks,3 in 4 Days w/ B2B,Houston Rockets,1 Day
2/11/2018,7:00 PM,6,Memphis Grizzlies,3-4 Days,Oklahoma City Thunder,2 Days
2/11/2018,7:00 PM,7,Sacramento Kings,1 Day,Minnesota Timberwolves,1 Day
2/11/2018,9:00 PM,8,Utah Jazz,1 Day,Portland Trail Blazers,"3 in 4 Days, no B2B"
2/12/2018,7:00 PM,1,New York Knicks,Back to Back,Philadelphia 76ers,"3 in 4 Days, no B2B"
2/12/2018,7:00 PM,2,New Orleans Pelicans,"3 in 4 Days, no B2B",Detroit Pistons,3 in 4 Days w/ B2B
2/12/2018,7:30 PM,3,Los Angeles Clippers,"3 in 4 Days, no B2B",Brooklyn Nets,1 Day
2/12/2018,8:00 PM,4,Orlando Magic,1 Day,Chicago Bulls,"3 in 4 Days, no B2B"
2/12/2018,9:00 PM,5,San Antonio Spurs,1 Day,Utah Jazz,3 in 4 Days w/ B2B
2/12/2018,10:30 PM,6,Phoenix Suns,1 Day,Golden State Warriors,1 Day
2/13/2018,7:00 PM,1,Miami Heat,3-4 Days,Toronto Raptors,1 Day
2/13/2018,8:00 PM,2,Atlanta Hawks,1 Day,Milwaukee Bucks,2 Days
2/13/2018,8:00 PM,3,Houston Rockets,1 Day,Minnesota Timberwolves,1 Day
2/13/2018,8:00 PM,4,Cleveland Cavaliers,1 Day,Oklahoma City Thunder,1 Day
2/13/2018,8:30 PM,5,Sacramento Kings,1 Day,Dallas Mavericks,"3 in 4 Days, no B2B"
2/13/2018,10:30 PM,6,San Antonio Spurs,3 in 4 Days w/ B2B,Denver Nuggets,2 Days
2/14/2018,7:00 PM,1,Miami Heat,Back to Back,Philadelphia 76ers,1 Day
2/14/2018,7:00 PM,2,Atlanta Hawks,3 in 4 Days w/ B2B,Detroit Pistons,"3 in 4 Days, no B2B"
2/14/2018,7:00 PM,3,Charlotte Hornets,2 Days,Orlando Magic,1 Day
2/14/2018,7:30 PM,4,Washington Wizards,3-4 Days,New York Knicks,"3 in 4 Days, no B2B"
2/14/2018,7:30 PM,5,Indiana Pacers,2 Days,Brooklyn Nets,1 Day
2/14/2018,8:00 PM,6,Los Angeles Clippers,1 Day,Boston Celtics,2 Days
2/14/2018,8:00 PM,7,Oklahoma City Thunder,3 in 4 Days w/ B2B,Memphis Grizzlies,2 Days
2/14/2018,8:00 PM,8,Toronto Raptors,3 in 4 Days w/ B2B,Chicago Bulls,1 Day
2/14/2018,8:00 PM,9,Los Angeles Lakers,3-4 Days,New Orleans Pelicans,1 Day
2/14/2018,8:00 PM,10,Sacramento Kings,3 in 4 Days w/ B2B,Houston Rockets,3 in 4 Days w/ B2B
2/14/2018,9:00 PM,11,Phoenix Suns,1 Day,Utah Jazz,"3 in 4 Days, no B2B"
2/14/2018,10:30 PM,12,Golden State Warriors,1 Day,Portland Trail Blazers,2 Days
2/15/2018,8:00 PM,1,Denver Nuggets,1 Day,Milwaukee Bucks,1 Day
2/15/2018,9:00 PM,2,Los Angeles Lakers,Back to Back,Minnesota Timberwolves,1 Day
2/22/2018,7:00 PM,1,Brooklyn Nets,5+ Days,Charlotte Hornets,5+ Days
2/22/2018,7:00 PM,2,New York Knicks,5+ Days,Orlando Magic,5+ Days
2/22/2018,8:00 PM,3,Philadelphia 76ers,5+ Days,Chicago Bulls,5+ Days
2/22/2018,8:00 PM,4,Washington Wizards,5+ Days,Cleveland Cavaliers,5+ Days
2/22/2018,10:00 PM,5,Oklahoma City Thunder,5+ Days,Sacramento Kings,5+ Days
2/22/2018,10:30 PM,6,Los Angeles Clippers,5+ Days,Golden State Warriors,5+ Days
2/23/2018,7:00 PM,1,Boston Celtics,5+ Days,Detroit Pistons,5+ Days
2/23/2018,7:00 PM,2,Charlotte Hornets,Back to Back,Washington Wizards,Back to Back
2/23/2018,7:00 PM,3,Atlanta Hawks,5+ Days,Indiana Pacers,5+ Days
2/23/2018,7:30 PM,4,Milwaukee Bucks,5+ Days,Toronto Raptors,5+ Days
2/23/2018,8:00 PM,5,Cleveland Cavaliers,Back to Back,Memphis Grizzlies,5+ Days
2/23/2018,8:00 PM,6,Minnesota Timberwolves,5+ Days,Houston Rockets,5+ Days
2/23/2018,8:00 PM,7,Miami Heat,5+ Days,New Orleans Pelicans,5+ Days
2/23/2018,9:00 PM,8,Portland Trail Blazers,5+ Days,Utah Jazz,5+ Days
2/23/2018,9:00 PM,9,Los Angeles Clippers,Back to Back,Phoenix Suns,5+ Days
2/23/2018,9:00 PM,10,San Antonio Spurs,5+ Days,Denver Nuggets,5+ Days
2/23/2018,10:30 PM,11,Dallas Mavericks,5+ Days,Los Angeles Lakers,5+ Days
2/24/2018,5:00 PM,1,Orlando Magic,1 Day,Philadelphia 76ers,1 Day
2/24/2018,7:30 PM,2,Boston Celtics,Back to Back,New York Knicks,1 Day
2/24/2018,7:30 PM,3,Memphis Grizzlies,Back to Back,Miami Heat,Back to Back
2/24/2018,8:30 PM,4,Oklahoma City Thunder,1 Day,Golden State Warriors,1 Day
2/24/2018,9:00 PM,5,Portland Trail Blazers,Back to Back,Phoenix Suns,Back to Back
2/24/2018,9:00 PM,6,Dallas Mavericks,Back to Back,Utah Jazz,Back to Back
2/24/2018,9:00 PM,7,Chicago Bulls,1 Day,Minnesota Timberwolves,Back to Back
2/24/2018,10:00 PM,8,Los Angeles Lakers,Back to Back,Sacramento Kings,1 Day
2/25/2018,1:00 PM,1,Detroit Pistons,1 Day,Charlotte Hornets,"3 in 4 Days, no B2B"
2/25/2018,3:00 PM,2,New Orleans Pelicans,1 Day,Milwaukee Bucks,1 Day
2/25/2018,3:30 PM,3,San Antonio Spurs,1 Day,Cleveland Cavaliers,"3 in 4 Days, no B2B"
2/25/2018,8:00 PM,4,Houston Rockets,1 Day,Denver Nuggets,1 Day
2/25/2018,8:00 PM,5,Philadelphia 76ers,3 in 4 Days w/ B2B,Washington Wizards,"3 in 4 Days, no B2B"
2/26/2018,7:30 PM,1,Golden State Warriors,1 Day,New York Knicks,1 Day
2/26/2018,7:30 PM,2,Detroit Pistons,3 in 4 Days w/ B2B,Toronto Raptors,2 Days
2/26/2018,7:30 PM,3,Chicago Bulls,1 Day,Brooklyn Nets,3-4 Days
2/26/2018,7:30 PM,4,Memphis Grizzlies,"3 in 4 Days, no B2B",Boston Celtics,"3 in 4 Days, no B2B"
2/26/2018,7:30 PM,5,Los Angeles Lakers,"3 in 4 Days, no B2B",Atlanta Hawks,2 Days
2/26/2018,8:00 PM,6,Phoenix Suns,"3 in 4 Days, no B2B",New Orleans Pelicans,3 in 4 Days w/ B2B
2/26/2018,8:00 PM,7,Orlando Magic,1 Day,Oklahoma City Thunder,1 Day
2/26/2018,8:30 PM,8,Indiana Pacers,2 Days,Dallas Mavericks,"3 in 4 Days, no B2B"
2/26/2018,9:00 PM,9,Houston Rockets,3 in 4 Days w/ B2B,Utah Jazz,"3 in 4 Days, no B2B"
2/26/2018,10:00 PM,10,Minnesota Timberwolves,"3 in 4 Days, no B2B",Sacramento Kings,1 Day
2/27/2018,7:00 PM,1,Chicago Bulls,3 in 4 Days w/ B2B,Charlotte Hornets,1 Day
2/27/2018,7:00 PM,2,Brooklyn Nets,Back to Back,Cleveland Cavaliers,1 Day
2/27/2018,7:30 PM,3,Philadelphia 76ers,"3 in 4 Days, no B2B",Miami Heat,2 Days
2/27/2018,8:00 PM,4,Washington Wizards,1 Day,Milwaukee Bucks,1 Day
2/27/2018,10:00 PM,5,Sacramento Kings,3 in 4 Days w/ B2B,Portland Trail Blazers,2 Days
2/27/2018,10:30 PM,6,Los Angeles Clippers,3-4 Days,Denver Nuggets,1 Day
2/28/2018,7:00 PM,7,Toronto Raptors,1 Day,Orlando Magic,1 Day
2/28/2018,7:00 PM,1,Milwaukee Bucks,3 in 4 Days w/ B2B,Detroit Pistons,"3 in 4 Days, no B2B"
2/28/2018,7:30 PM,2,Charlotte Hornets,3 in 4 Days w/ B2B,Boston Celtics,1 Day
2/28/2018,7:30 PM,3,Indiana Pacers,1 Day,Atlanta Hawks,1 Day
2/28/2018,8:00 PM,4,Phoenix Suns,1 Day,Memphis Grizzlies,1 Day
2/28/2018,8:00 PM,5,Golden State Warriors,1 Day,Washington Wizards,3 in 4 Days w/ B2B
2/28/2018,8:30 PM,6,Oklahoma City Thunder,1 Day,Dallas Mavericks,1 Day
2/28/2018,8:30 PM,7,New Orleans Pelicans,"3 in 4 Days, no B2B",San Antonio Spurs,2 Days
2/28/2018,10:30 PM,8,Houston Rockets,"3 in 4 Days, no B2B",Los Angeles Clippers,Back to Back
3/1/2018,7:30 PM,1,Los Angeles Lakers,2 Days,Miami Heat,1 Day
3/1/2018,8:00 PM,2,Philadelphia 76ers,1 Day,Cleveland Cavaliers,1 Day
3/1/2018,10:00 PM,3,Brooklyn Nets,"3 in 4 Days, no B2B",Sacramento Kings,"3 in 4 Days, no B2B"
3/1/2018,10:30 PM,4,Minnesota Timberwolves,2 Days,Portland Trail Blazers,1 Day
3/2/2018,7:00 PM,1,Charlotte Hornets,"3 in 4 Days, no B2B",Philadelphia 76ers,3 in 4 Days w/ B2B
3/2/2018,7:00 PM,2,Detroit Pistons,1 Day,Orlando Magic,1 Day
3/2/2018,7:30 PM,3,Golden State Warriors,1 Day,Atlanta Hawks,1 Day
3/2/2018,8:00 PM,4,Denver Nuggets,2 Days,Memphis Grizzlies,1 Day
3/2/2018,8:00 PM,5,Dallas Mavericks,1 Day,Chicago Bulls,2 Days
3/2/2018,8:00 PM,6,Indiana Pacers,1 Day,Milwaukee Bucks,"3 in 4 Days, no B2B"
3/2/2018,8:00 PM,7,Toronto Raptors,1 Day,Washington Wizards,"3 in 4 Days, no B2B"
3/2/2018,9:00 PM,8,Oklahoma City Thunder,1 Day,Phoenix Suns,1 Day
3/2/2018,10:30 PM,9,New York Knicks,3-4 Days,Los Angeles Clippers,"3 in 4 Days, no B2B"
3/2/2018,10:30 PM,10,Minnesota Timberwolves,Back to Back,Utah Jazz,3-4 Days
3/3/2018,7:00 PM,1,Memphis Grizzlies,3 in 4 Days w/ B2B,Orlando Magic,3 in 4 Days w/ B2B
3/3/2018,7:30 PM,2,Denver Nuggets,Back to Back,Cleveland Cavaliers,1 Day
3/3/2018,7:30 PM,3,Detroit Pistons,3 in 4 Days w/ B2B,Miami Heat,1 Day
3/3/2018,8:30 PM,4,Boston Celtics,2 Days,Houston Rockets,2 Days
3/3/2018,9:00 PM,5,Los Angeles Lakers,1 Day,San Antonio Spurs,2 Days
3/3/2018,10:00 PM,6,Utah Jazz,Back to Back,Sacramento Kings,1 Day
3/3/2018,10:00 PM,7,Oklahoma City Thunder,3 in 4 Days w/ B2B,Portland Trail Blazers,1 Day
3/4/2018,3:30 PM,1,Phoenix Suns,1 Day,Atlanta Hawks,1 Day
3/4/2018,6:00 PM,2,Charlotte Hornets,1 Day,Toronto Raptors,1 Day
3/4/2018,6:00 PM,3,Indiana Pacers,1 Day,Washington Wizards,1 Day
3/4/2018,7:00 PM,4,New Orleans Pelicans,3-4 Days,Dallas Mavericks,1 Day
3/4/2018,8:00 PM,5,Philadelphia 76ers,"3 in 4 Days, no B2B",Milwaukee Bucks,1 Day
3/4/2018,9:00 PM,6,Brooklyn Nets,2 Days,Los Angeles Clippers,1 Day
3/4/2018,9:00 PM,7,New York Knicks,1 Day,Sacramento Kings,3 in 4 Days w/ B2B
3/5/2018,7:00 PM,1,Detroit Pistons,"3 in 4 Days, no B2B",Cleveland Cavaliers,1 Day
3/5/2018,7:00 PM,2,Milwaukee Bucks,3 in 4 Days w/ B2B,Indiana Pacers,3 in 4 Days w/ B2B
3/5/2018,7:30 PM,3,Phoenix Suns,3 in 4 Days w/ B2B,Miami Heat,1 Day
3/5/2018,8:00 PM,4,Boston Celtics,1 Day,Chicago Bulls,2 Days
3/5/2018,8:30 PM,5,Memphis Grizzlies,"3 in 4 Days, no B2B",San Antonio Spurs,1 Day
3/5/2018,9:00 PM,6,Orlando Magic,"3 in 4 Days, no B2B",Utah Jazz,"3 in 4 Days, no B2B"
3/5/2018,10:30 PM,7,Portland Trail Blazers,1 Day,Los Angeles Lakers,1 Day
3/6/2018,7:00 PM,1,Philadelphia 76ers,1 Day,Charlotte Hornets,1 Day
3/6/2018,7:00 PM,2,Atlanta Hawks,1 Day,Toronto Raptors,1 Day
3/6/2018,7:00 PM,3,Miami Heat,3 in 4 Days w/ B2B,Washington Wizards,1 Day
3/6/2018,8:00 PM,4,Houston Rockets,2 Days,Oklahoma City Thunder,2 Days
3/6/2018,8:30 PM,5,Denver Nuggets,2 Days,Dallas Mavericks,1 Day
3/6/2018,10:00 PM,6,New York Knicks,1 Day,Portland Trail Blazers,3 in 4 Days w/ B2B
3/6/2018,10:30 PM,7,New Orleans Pelicans,1 Day,Los Angeles Clippers,1 Day
3/6/2018,10:30 PM,8,Brooklyn Nets,1 Day,Golden State Warriors,3-4 Days
3/7/2018,7:00 PM,1,Utah Jazz,1 Day,Indiana Pacers,"3 in 4 Days, no B2B"
3/7/2018,8:00 PM,2,Memphis Grizzlies,1 Day,Chicago Bulls,1 Day
3/7/2018,8:00 PM,3,Toronto Raptors,3 in 4 Days w/ B2B,Detroit Pistons,1 Day
3/7/2018,8:00 PM,4,Houston Rockets,Back to Back,Milwaukee Bucks,"3 in 4 Days, no B2B"
3/7/2018,10:00 PM,5,New Orleans Pelicans,3 in 4 Days w/ B2B,Sacramento Kings,2 Days
3/7/2018,10:30 PM,6,Cleveland Cavaliers,1 Day,Denver Nuggets,Back to Back
3/7/2018,10:30 PM,7,Orlando Magic,1 Day,Los Angeles Lakers,1 Day
3/8/2018,7:00 PM,1,Brooklyn Nets,1 Day,Charlotte Hornets,1 Day
3/8/2018,7:30 PM,2,Philadelphia 76ers,1 Day,Miami Heat,"3 in 4 Days, no B2B"
3/8/2018,8:00 PM,3,Boston Celtics,2 Days,Minnesota Timberwolves,5+ Days
3/8/2018,8:00 PM,4,Phoenix Suns,2 Days,Oklahoma City Thunder,1 Day
3/8/2018,10:30 PM,5,San Antonio Spurs,2 Days,Golden State Warriors,1 Day
3/9/2018,7:00 PM,1,Chicago Bulls,1 Day,Detroit Pistons,1 Day
3/9/2018,7:00 PM,2,Atlanta Hawks,2 Days,Indiana Pacers,1 Day
3/9/2018,7:30 PM,3,Houston Rockets,"3 in 4 Days, no B2B",Toronto Raptors,"3 in 4 Days, no B2B"
3/9/2018,8:00 PM,4,Utah Jazz,1 Day,Memphis Grizzlies,1 Day
3/9/2018,8:00 PM,5,New York Knicks,2 Days,Milwaukee Bucks,1 Day
