Player,Team,OPM,DPM
Tyler Dorsey,ATL,-2.1116674,-2.2074926
Marco Belinelli,ATL,-0.67660451,-2.1534564
Quinn Cook,ATL,-0.002988219,-1.5361264
Malcolm Delaney,ATL,-2.6066496,-0.98105115
Ersan Ilyasova,ATL,-0.29662883,-0.12164574
Luke Babbitt,ATL,-0.72658217,-0.41319707
Josh Magette,ATL,,
Taurean Prince,ATL,-2.4248943,1.7734165
Dewayne Dedmon,ATL,-2.2763925,2.7909453
Nicolas Brussino,ATL,-1.5343287,-0.55909163
Dennis Schroder,ATL,1.257551,-1.9318751
Miles Plumlee,ATL,-2.9586868,0.5545395
John Collins,ATL,-2.0160334,0.27201614
Jeremy Evans,ATL,-1.8379551,0.00048407345
Kent Bazemore,ATL,-1.3963968,0.16976853
Mike Muscala,ATL,-1.0021863,0.55942452
Tyler Cavanaugh,ATL,,
DeAndre' Bembry,ATL,-1.6860162,-0.44494453
Jayson Tatum,BOS,-1.2243156,-0.53731805
Jaylen Brown,BOS,-1.6389539,-0.47787958
Shane Larkin,BOS,-0.50846136,-1.5867347
Kyrie Irving,BOS,4.0885553,-1.9515994
Terry Rozier,BOS,-0.59012079,-0.68484652
Marcus Morris,BOS,-0.0018749554,0.02277362
Gordon Hayward,BOS,2.8960819,-0.034543782
Jabari Bird,BOS,,
Daniel Theis,BOS,,
Abdel Nader,BOS,,
Daniel Dixon,BOS,,
Guerschon Yabusele,BOS,0.49452993,-0.04900543
Marcus Smart,BOS,0.57930917,0.68027753
Semi Ojeleye,BOS,-1.9447588,-1.7636365
Andrew White,BOS,-2.8300869,-0.97011274
Al Horford,BOS,0.11259198,1.6183937
Kadeem Allen,BOS,-1.9417319,-0.80852848
Aron Baynes,BOS,-2.469537,1.0740055
L.J. Peak,BOS,-2.5457973,-1.6387244
Jonathan Holmes,BOS,-1.5628725,0.098473161
Yakuba Ouattara,BKN,,
D'Angelo Russell,BKN,1.5144644,-1.577433
Sean Kilpatrick,BKN,-0.038136482,-2.4471369
Jeremy Lin,BKN,0.15202591,-0.51553857
Spencer Dinwiddie,BKN,-0.46990928,-0.25120804
DeMarre Carroll,BKN,-0.629659,0.65107256
Joe Harris,BKN,-1.3856417,-1.5061842
Quincy Acy,BKN,-1.7140127,-0.37726703
Isaiah Whitehead,BKN,-1.5397489,-1.0484626
Timofey Mozgov,BKN,-3.7760017,0.56497049
Jacob Wiley,BKN,,
Caris LeVert,BKN,0.082620203,-0.38600454
Rondae Hollis-Jefferson,BKN,-1.1777997,1.8025876
Jarrett Allen,BKN,-2.7759342,-0.1386638
Allen Crabbe,BKN,0.066719413,-1.9398371
Trevor Booker,BKN,-1.5255721,1.4849453
Tyler Zeller,BKN,-2.3699222,0.56985021
Malik Monk,CHA,-1.9290483,-2.2810743
Marvin Williams,CHA,-0.20341597,0.42627352
Jeremy Lamb,CHA,0.095618099,-0.49395657
Marcus Paige,CHA,-0.47892511,-1.7413431
Nicolas Batum,CHA,0.89940804,0.015434145
Dwayne Bacon,CHA,-2.2637415,-1.8302822
Johnny O'Bryant III,CHA,-2.3069077,-0.81517386
Mangok Mathiang,CHA,,
Michael Carter-Williams,CHA,-1.5131822,0.89380658
T.J. Williams,CHA,,
Dwight Howard,CHA,-1.1973711,2.4816148
Michael Kidd-Gilchrist,CHA,-0.93052566,1.7178411
Kemba Walker,CHA,3.7035575,-1.3620036
Treveon Graham,CHA,-0.67112321,-0.60243434
Isaiah Hicks,CHA,-2.5376701,-0.78826392
Julyan Stone,CHA,,
Terry Henderson,CHA,,
Cody Zeller,CHA,-0.23507404,2.8068638
Frank Kaminsky,CHA,-0.01964616,0.12128124
Luke Petrasek,CHA,,
Diamond Stone,CHI,-2.537961,0.60595858
Jerian Grant,CHI,-0.049552649,-0.31330726
Bobby Portis,CHI,-1.27301,-0.55512452
Cristiano Felicio,CHI,-1.3290316,0.49943769
Justin Holiday,CHI,-1.0912267,-0.22968462
Zach LaVine,CHI,0.79480493,-2.3709259
Antonio Blakeney,CHI,-2.6435168,-2.2727077
David Nwaba,CHI,-1.2247822,-0.38433743
Ryan Arcidiacono,CHI,-0.17066658,-1.3874502
Paul Zipser,CHI,-2.3272791,-0.27365762
Bronson Koenig,CHI,,
Quincy Pondexter,CHI,-1.2050471,-0.70341951
Cameron Payne,CHI,-1.0357156,-0.92910248
Lauri Markkanen,CHI,-1.988215,-1.0333841
Jaylen Johnson,CHI,,
Jarell Eddie,CHI,-0.49343669,-1.4339859
Kris Dunn,CHI,-1.486829,0.47746781
Robin Lopez,CHI,-2.0332124,1.0768201
Nikola Mirotic,CHI,0.54854226,0.96566308
Denzel Valentine,CHI,-1.0688136,-0.2899372
Kevin Love,CLE,2.1081257,1.1046464
Derrick Rose,CLE,0.19400692,-2.3152175
Isaiah Thomas,CLE,4.9521022,-3.4184651
Iman Shumpert,CLE,-0.87542534,0.15948167
JR Smith,CLE,-0.091024399,-0.96682715
Channing Frye,CLE,-0.39117235,-0.010890507
Dwyane Wade,CLE,-0.026501477,-0.57772356
John Holland,CLE,,
Tristan Thompson,CLE,-0.30939102,0.94930118
Cedi Osman,CLE,-1.3046582,-0.023398835
Kay Felder,CLE,-1.4777682,-1.3999557
Kendrick Perkins,CLE,-3.7328174,0.075890332
LeBron James,CLE,5.802443,1.6120391
Richard Jefferson,CLE,-1.9576735,-0.9033857
Kyle Korver,CLE,-0.73275214,-0.88254386
Jeff Green,CLE,-2.0018697,-0.95857441
Ante Zizic,CLE,0.20161754,0.75459075
Jose Calderon,CLE,-1.1929651,-1.5225691
Jae Crowder,CLE,1.2225248,0.69145894
Dennis Smith Jr.,DAL,-0.74264705,-1.2746569
Nerlens Noel,DAL,-1.6862094,3.2859554
J.J. Barea,DAL,-0.19229507,-2.9805138
Johnathan Motley,DAL,-2.1717792,-0.49765623
Dwight Powell,DAL,-1.2794545,0.98849696
Gian Clavell,DAL,,
Dorian Finney-Smith,DAL,-1.9437114,0.16802812
Yogi Ferrell,DAL,-0.082547665,-1.3543739
Josh McRoberts,DAL,-2.1652374,0.24904352
Jeff Withey,DAL,-2.0604811,1.9140422
Maalik Wayns,DAL,,
Brandon Ashley,DAL,-1.4739348,0.097095087
Wesley Matthews,DAL,0.018754691,-0.4930439
Seth Curry,DAL,0.59219682,-1.0690399
Devin Harris,DAL,-0.35586396,-0.34398082
PJ Dozier,DAL,-2.8045549,-0.48051357
Harrison Barnes,DAL,-0.06212008,-0.4935658
Dirk Nowitzki,DAL,-0.66556174,0.7181536
Maxi Kleber,DAL,,
Salah Mejri,DAL,-3.0403261,2.7618897
Darrell Arthur,DEN,-1.270044,0.60407495
Emmanuel Mudiay,DEN,-0.43244898,-1.6285816
Jameer Nelson,DEN,-0.15376627,-1.898955
Torrey Craig,DEN,,
Paul Millsap,DEN,0.65988946,2.6405957
Will Barton,DEN,0.37086192,-0.86655283
Trey Lyles,DEN,-1.3641142,0.083428465
Josh Childress,DEN,,
Monte Morris,DEN,-0.80631483,-1.6417886
Gary Harris,DEN,1.8228105,-1.5826182
Nikola Jokic,DEN,3.752749,2.317718
Tyler Lydon,DEN,-2.2165575,-0.029223798
Wilson Chandler,DEN,-0.23103392,-1.1290774
Mason Plumlee,DEN,-0.0053949356,1.6299099
Malik Beasley,DEN,-1.41636,-1.4696773
Jamal Murray,DEN,0.52557617,-1.5092635
Kenneth Faried,DEN,0.15685225,-0.39922571
Juan Hernangomez,DEN,-0.18611729,-0.31304398
Andre Drummond,DET,-1.0757095,2.5303316
Reggie Jackson,DET,1.1884439,-2.2325563
Luke Kennard,DET,-1.38905,-2.009223
Stanley Johnson,DET,-1.43647,0.18538637
Henry Ellenson,DET,-2.6331112,0.26833245
Langston Galloway,DET,-0.11977005,-1.3195428
Ish Smith,DET,-0.20790112,-0.86697674
Beno Udrih,DET,-1.628168,-1.4492036
Dwight Buycks,DET,-0.22233176,-1.6025567
Avery Bradley,DET,0.29499733,-1.1899995
Eric Moreland,DET,,
Reggie Bullock,DET,-0.68490684,-0.22757725
Jon Leuer,DET,-1.3995382,0.38416091
Derek Willis,DET,,
Tobias Harris,DET,0.62369919,-0.090631306
Landry Nnoko,DET,,
Anthony Tolliver,DET,-0.59837657,-0.76666659
Luis Montero,DET,,
Boban Marjanovic,DET,-0.89497054,0.84096366
Patrick McCaw,GSW,-1.5809224,-0.85390085
JaVale McGee,GSW,-1.6848814,0.96376258
Jordan Bell,GSW,-1.867368,1.3955297
David West,GSW,-2.4392059,2.4578259
Kevon Looney,GSW,-1.2895774,0.60908341
Nick Young,GSW,0.36426449,-2.172116
Andre Iguodala,GSW,0.59717196,0.78772885
Klay Thompson,GSW,2.2228203,-1.094595
Damian Jones,GSW,-2.2372217,0.067368463
Omri Casspi,GSW,-1.1340061,-0.0839267
Michael Gbinije,GSW,-0.45112905,-0.33366552
Draymond Green,GSW,1.7044296,4.4543457
Chris Boucher,GSW,-3.107461,1.2684042
Zaza Pachulia,GSW,-1.4745655,2.4032681
Stephen Curry,GSW,7.5153046,0.09110786
Georges Niang,GSW,-0.7175355,-0.62691319
Shaun Livingston,GSW,-1.8825977,0.00038166618
Kevin Durant,GSW,4.3456416,1.2955445
Cameron Oliver,HOU,-3.2226093,0.25589418
Trevor Ariza,HOU,-0.035348952,0.71600842
Demetrius Jackson,HOU,0.029097557,-1.8788189
Chris Paul,HOU,5.5105314,0.72441763
PJ Tucker,HOU,-1.0998986,0.97367454
Troy Williams,HOU,-2.1178324,0.11549281
Bobby Brown,HOU,,
Chris Johnson,HOU,-1.8845865,0.19676089
Zhou Zhou,HOU,,
Eric Gordon,HOU,0.96367186,-1.4744879
Luc Mbah a Moute,HOU,-2.5054569,1.4864315
James Harden,HOU,6.9169888,-0.3908895
George de Paula,HOU,,
Clint Capela,HOU,-0.97318149,1.8207293
Isaiah Taylor,HOU,-0.46025085,-1.7571614
Chinanu Onuaku,HOU,-1.9472556,1.4621335
Tarik Black,HOU,-2.1486959,0.95679927
Ryan Anderson,HOU,0.92321867,-1.2777399
Nene,HOU,-1.6321416,2.521616
Tim Quarterman,HOU,-0.86992359,-0.83837569
Alex Poythress,IND,-1.5982771,-0.52389973
Lance Stephenson,IND,-2.0189667,-1.0953642
Darren Collison,IND,0.97035742,-1.9688991
Joe Young,IND,-1.2464451,-1.6470608
Victor Oladipo,IND,1.1799152,0.22894007
Edmond Sumner,IND,-2.1493192,-0.9808985
Cory Joseph,IND,-0.049977899,-1.0787642
Trey McKinney Jones,IND,,
Domantas Sabonis,IND,-2.9274879,1.1340023
Damien Wilkins,IND,,
Ike Anigbogu,IND,-3.252727,0.30255684
Jarrod Uthoff,IND,-2.4858336,1.1845821
DeQuan Jones,IND,,
Thaddeus Young,IND,-0.89772141,1.3581294
TJ Leaf,IND,-1.8717608,-0.58810037
Al Jefferson,IND,-2.3208971,0.12333733
Ben Moore,IND,,
Myles Turner,IND,-0.56158721,2.1980565
Glenn Robinson III,IND,-1.0682652,-0.60335606
Bojan Bogdanovic,IND,-0.56815863,-2.8490329
Sindarius Thornwell,LAC,-1.5896978,-0.08277487
Jawun Evans,LAC,-0.53771913,-1.760924
Milos Teodosic,LAC,,
Montrezl Harrell,LAC,-0.60427499,-0.095384143
DeAndre Jordan,LAC,0.64469123,3.3501129
Sam Dekker,LAC,-0.043098688,-0.51854283
Danilo Gallinari,LAC,2.0564923,-0.50050718
C.J. Williams,LAC,,
Brice Johnson,LAC,-1.2008189,0.82599175
Tyrone Wallace,LAC,-0.93749249,-1.2478489
Jamil Wilson,LAC,,
LaDontae Henton,LAC,,
Patrick Beverley,LAC,0.93218195,0.27729675
Lou Williams,LAC,2.3569849,-2.2487631
Austin Rivers,LAC,-0.035421133,-1.6753833
Blake Griffin,LAC,2.3386543,0.82455617
Wesley Johnson,LAC,-1.896853,1.3596777
Willie Reed,LAC,-2.1391234,0.9635334
Marshall Plumlee,LAC,-1.7121123,0.91666812
Kyle Kuzma,LAL,-1.8157524,-0.92529857
Kentavious Caldwell-Pope,LAL,1.2771623,-0.57238996
Lonzo Ball,LAL,-0.093049228,-0.69223315
Corey Brewer,LAL,-2.1263196,0.52216005
Alex Caruso,LAL,,
Josh Hart,LAL,-1.2444165,-0.93599868
Jordan Clarkson,LAL,0.059176922,-2.406075
Larry Nance Jr.,LAL,-1.2468913,1.7824048
Luol Deng,LAL,-0.90481073,0.49771598
Tyler Ennis,LAL,-0.65437591,-1.1879488
Brook Lopez,LAL,0.23348618,0.95685804
Briante Weber,LAL,-1.2335414,-0.85344708
Brandon Ingram,LAL,-1.182098,-1.2043256
Vander Blue,LAL,,
Julius Randle,LAL,-0.61828792,-0.27436164
Thomas Bryant,LAL,-3.1183691,0.22019126
Ivica Zubac,LAL,-2.5632598,0.79456216
Andrew Bogut,LAL,-3.0032244,4.0138626
JaMychal Green,MEM,-1.0108666,0.16883065
Jarell Martin,MEM,-2.4523599,0.26658654
Kobi Simmons,MEM,-3.9566569,-1.9244505
Durand Scott,MEM,,
Durand Scott,MEM,,
Wade Baldwin IV,MEM,-2.3951993,-0.70744622
Andrew Harrison,MEM,-0.5907371,-0.13571435
Mario Chalmers,MEM,-0.5245893,-0.35744926
Wayne Selden,MEM,-1.4012753,-0.74403608
James Ennis III,MEM,-0.8100363,0.3591193
Ivan Rabb,MEM,-2.3267863,-0.33456889
Mike Conley,MEM,3.8607998,-0.74765265
Tyreke Evans,MEM,0.21191594,-0.063682333
Deyonta Davis,MEM,-2.545073,0.89462548
Ben McLemore,MEM,-0.88685191,-1.2253467
Dillon Brooks,MEM,-2.2395172,-1.0626391
Chandler Parsons,MEM,-1.2285936,-0.16540319
Vince Hunter,MEM,-1.240766,-0.098961286
Marc Gasol,MEM,0.011523843,1.6303242
Brandan Wright,MEM,-1.5075126,0.67377961
Rade Zagorac,MEM,-0.51523376,-0.27108142
DeAndre Liggins,MIA,-2.5958214,0.88009346
Josh Richardson,MIA,-0.56420386,0.12994814
